"category","scope","item","part_id","specification","quantity","unit","supply","notes","source","download"
"80/20 aluminum & hardware","Per camera","20-2020 extrusion · vertical stem","20-2020","570 mm cut · 20 × 20 mm profile","1","each","Per camera","","https://8020.net/20-2020.html",""
"80/20 aluminum & hardware","Per camera","20-2020 extrusion · platform crossbar","20-2020","420 mm cut · 20 × 20 mm profile","1","each","Per camera","","https://8020.net/20-2020.html",""
"80/20 aluminum & hardware","Per camera","20-2020 extrusion · platform rails","20-2020","280 mm cut · 20 × 20 mm profile","2","each","Per camera","","https://8020.net/20-2020.html",""
"80/20 aluminum & hardware","Per camera","20-2020 extrusion · upper arm","20-2020","220 mm cut · 20 × 20 mm profile","1","each","Per camera","","https://8020.net/20-2020.html",""
"80/20 aluminum & hardware","Per camera","20-2020 extrusion · short support","20-2020","100 mm cut · 20 × 20 mm profile","1","each","Per camera","","https://8020.net/20-2020.html",""
"80/20 aluminum & hardware","Per camera","Supported corner bracket","14057","38 × 38 × 18 mm","4","each","Per camera","Four-hole inside corner bracket with single support. One upper-arm joint, two platform corners and one crossbar support.","https://8020.net/14057.html",""
"80/20 aluminum & hardware","Per camera","Compact corner bracket","14060","18 × 18 × 18 mm","1","each","Per camera","Two-hole slotted inside corner bracket with dual support. Other crossbar support.","https://8020.net/14060.html",""
"80/20 aluminum & hardware","Per camera","Square joining plate","20-4167","40 × 40 × 4 mm","1","each","Per camera","Joins the 100 mm support to the stem.","https://8020.net/20-4167.html",""
"80/20 aluminum & hardware","Per camera","80/20 black button-head bolt","11-5308","M5 × 0.8 · 8 mm long","32","each","Per camera","11-5308 throughout: 22 frame + 8 imaging platform + 2 box-to-arm. M5 × 8 mm; all black extrusion bolts use this part.","https://8020.net/11-5308.html",""
"80/20 aluminum & hardware","Per camera","80/20 slide-in T-nut","14122","9 × 9 × 3 mm · M5","32","each","Per camera","14122 throughout: one nut per 11-5308 bolt. Load from the extrusion ends.","https://8020.net/14122.html",""
"Imaging platform & prebuilt trap","Per camera","Rear acrylic panel","","420 mm wide · 3 mm thick","1","each","Per camera","One rear panel from the platform design DXF.","","downloads/imaging-platform-mm.dxf"
"Imaging platform & prebuilt trap","Per camera","Front acrylic panel","","420 mm wide · 3 mm thick","1","each","Per camera","One front panel; the two panels form a 420 × 300 mm platform.","","downloads/imaging-platform-mm.dxf"
"Imaging platform & prebuilt trap","Per camera","BanfieldBio blue vane insect trap","","Includes funnel/collar and crossed vanes","1","assembly","Per camera","BanfieldBio supplies cases of 24 complete traps. Use one vane/funnel assembly per camera; the collection jar and lid are not installed.","https://www.bluevanetraps.com",""
"Imaging platform & prebuilt trap","Per camera","Acrylic stopper inserts","","R53.34 mm · 3 mm thick","4","each","Per camera","Four custom 3 mm acrylic inserts; one centred blue/yellow bullseye on each.","","downloads/vane-stopper-mm.dxf"
"Imaging platform & prebuilt trap","Per camera","Weatherproof vinyl contrast stickers","","420 × 300 mm sheet + insert patches","1","set","Per camera","Adhesive weatherproof vinyl: one 420 × 300 mm platform print plus four stopper patches. Platform fasteners are counted in the 80/20 section.","","assets/contrast-pattern.svg"
"Weatherproof box & acrylic mounts","Per camera","Zulkit hinged weatherproof enclosure","","150 × 150 × 90 mm overall","1","each","Per camera","Includes lid, gasket, supplied cable gland(s) and mounting screws. Add two Ø22 mm lid ports and one centred Ø28 mm side port.","https://www.amazon.com/dp/B08KWD8TFY",""
"Weatherproof box & acrylic mounts","Per camera","Lid cable gland","","Ø22 mm lid port","1","included","Included","Use one supplied gland in the lid; included with the enclosure.","https://www.amazon.com/dp/B08KWD8TFY",""
"Weatherproof box & acrylic mounts","Per camera","Supplied enclosure screws","","Size supplied with box","4","included","Included","Use four supplied enclosure screws for the outer acrylic mounting plate.","",""
"Weatherproof box & acrylic mounts","Per camera","Capped side bulkhead","","Ø28 mm wall hole · 27 mm thread","1","each","Per camera","One PATIKIL capped fitting from the linked six-pack. Fits the Ø28 mm side hole.","https://www.amazon.com/dp/B0DHLLMRRK",""
"Weatherproof box & acrylic mounts","Per camera","Outer acrylic mounting plate","","135 × 170 × 3 mm","1","each","Per camera","3 mm acrylic; four box screws plus two 11-5308/14122 pairs already counted above.","","downloads/mount-plate-mm.dxf"
"Weatherproof box & acrylic mounts","Per camera","Internal acrylic Pi plate","","128.499 × 128.499 × 3 mm","1","each","Per camera","3 mm acrylic, cut from the design DXF.","","downloads/internal-plate-mm.dxf"
"Weatherproof box & acrylic mounts","Per camera","Circular hook-and-loop pairs","","5 pairs · Ø20 mm · black","5","pairs","Per camera","Five mating pairs = ten adhesive dots. Black in the build; the linked white Ø20 mm alternative is suitable.","https://www.amazon.com/dp/B07XHRYYXJ",""
"Electronics & installed cables","Per camera","Raspberry Pi Zero 2 W with pre-soldered GPIO header","","65 × 30 mm PCB","1","each","Per camera","Adafruit 6008; pre-soldered 40-pin header.","https://www.adafruit.com/product/6008",""
"Electronics & installed cables","Per camera","Raspberry Pi AI Camera","","25 × 24 × 11.9 mm module","1","each","Per camera","Raspberry Pi AI Camera.","https://www.raspberrypi.com/products/ai-camera/",""
"Electronics & installed cables","Per camera","SanDisk Extreme microSDXC","","128 GB · microSD","1","each","Per camera","128 GB microSDXC UHS-I; select the package with an SD adapter. Adapter is shared setup equipment.","https://shop.sandisk.com/products/memory-cards/microsd-cards/sandisk-extreme-uhs-i-microsd?sku=SDSQXA1-128G-GN6MA",""
"Electronics & installed cables","Per camera","Witty Pi 4 Mini","","65 × 30 mm nominal PCB","1","each","Per camera","Scheduled power management and real-time clock.","https://www.uugear.com/product/witty-pi-4-mini/",""
"Electronics & installed cables","Per camera","SparkFun Qwiic HAT DEV-14459","","52.324 × 22.987 mm PCB","1","each","Per camera","Use full-size DEV-14459, as specified; mounts below Witty Pi on the shared GPIO pins.","https://www.sparkfun.com/sparkfun-qwiic-hat-for-raspberry-pi.html",""
"Electronics & installed cables","Per camera","Adafruit DS3231 STEMMA QT","","25.4 × 17.78 mm PCB","1","each","Per camera","Adafruit 5188; separate precision RTC.","https://www.adafruit.com/product/5188",""
"Electronics & installed cables","Per camera","CR1220 backup battery","","Ø12 × 2 mm · 3 V","1","cell","Per camera","One CR1220 cell installed; linked Maxell package contains five.","https://batteriesamerica.com/products/cr1220-5pk",""
"Electronics & installed cables","Per camera","Hosyond SSD1306 OLED display","","0.96 inch · 128 × 64 pixels","1","each","Per camera","0.96 inch, 128 × 64, blue/yellow; one display from the linked five-pack. Board outline is schematic in the viewer.","https://www.amazon.com/dp/B09C5K91H7",""
"Electronics & installed cables","Per camera","Frienda 2×20 extra-tall stacking header","","51 × 5 × 23 mm · 2.54 mm pitch","1","each","Per camera","One Frienda header from an eight-pack. 51 × 5 × 23 mm overall; 12 mm male pins, approximately 0.6 mm thick, at 2.54 mm pitch.","https://www.amazon.com/dp/B084Q4W1PW",""
"Electronics & installed cables","Per camera","JST SH 4-pin cables","","200 mm each · 1 mm pitch","2","each","Per camera","Exactly two 200 mm cables: Qwiic HAT → RTC and Qwiic HAT → OLED. Remove one OLED-end connector; solder black/red/yellow/blue left-to-right at its pin edge.","https://www.adafruit.com/product/4401",""
"Electronics & installed cables","Per camera","Orange CSI camera ribbon","","Pi Zero camera adapter ribbon","1","included","Included","Included with the AI Camera package. Use its 22-pin Pi Zero to 15-pin camera ribbon.","https://www.raspberrypi.com/products/ai-camera/",""
"Small fasteners & brass standoffs","Per camera","Pi brass standoffs","","15 mm body + 6 mm male thread","4","each","Per camera","M2.5 HELIFOUNER; four 15 mm bodies with 6 mm male threads.","",""
"Small fasteners & brass standoffs","Per camera","Pi-to-Witty brass standoffs","","20 mm body + 6 mm male thread","2","each","Per camera","M2.5 HELIFOUNER; two 20 mm bodies with 6 mm male threads, opposite the OLED.","",""
"Small fasteners & brass standoffs","Per camera","5 mm brass retaining standoffs","","5 mm body · HELIFOUNER","4","each","Per camera","Four 5 mm bodies used as nuts: two on Pi at the OLED end, two on Witty at the opposite end.","",""
"Small fasteners & brass standoffs","Per camera","OLED brass spacers","","10 mm brass spacer","2","each","Per camera","Two 10 mm brass spacers between Witty Pi and OLED.","",""
"Small fasteners & brass standoffs","Per camera","RTC brass standoffs","","M2.5 · 10 mm body","2","each","Per camera","Two M2.5 brass standoffs with 10 mm bodies support the RTC.","",""
